Number of variables,Exec Time (microseconds),Target,Combo
11,410,655,[]
11,434,436,[]
11,437,888,[]
11,417,352,[]
11,410,292,[]
11,408,623,[]
11,409,158,[]
11,410,706,[]
11,410,540,[]
11,411,121,[]
11,409,244,[]
11,410,537,[]
11,412,360,[]
11,411,216,[]
11,411,866,[]
11,424,182,[]
11,434,711,[]
11,406,597,[]
11,412,959,[]
11,330,107,"[8, 4, 9, 17, 18, 23, 9, 19]"
11,450,845,[]
11,424,745,[]
11,414,512,[]
11,447,618,[]
11,409,849,[]
11,409,275,[]
11,407,688,[]
11,409,161,[]
11,406,680,[]
11,407,560,[]
11,409,415,[]
11,409,708,[]
11,406,769,[]
11,409,952,[]
11,407,337,[]
11,407,575,[]
11,408,319,[]
11,416,830,[]
11,409,430,[]
11,407,237,[]
11,406,457,[]
11,416,127,"[21, 16, 25, 11, 25, 5, 8, 1, 15]"
11,431,238,[]
11,411,888,[]
11,408,724,[]
11,406,617,[]
11,409,999,[]
11,408,361,[]
11,410,350,[]
11,427,186,[]
11,408,248,[]
11,410,214,[]
11,409,133,[]
11,411,883,[]
11,410,255,[]
11,807,572,[]
11,408,386,[]
11,421,200,[]
11,444,863,[]
11,409,488,[]
11,409,188,[]
11,430,947,[]
11,409,210,[]
11,410,722,[]
11,408,251,[]
11,408,637,[]
11,409,370,[]
11,118,109,"[24, 14, 15, 23, 14, 19]"
11,437,293,[]
11,411,109,[]
11,408,516,[]
11,409,331,[]
11,433,982,[]
11,407,802,[]
11,427,236,[]
11,410,958,[]
11,410,603,[]
11,416,862,[]
11,409,536,[]
11,422,659,[]
11,449,752,[]
11,408,652,[]
11,408,2407,[]
11,409,8721,[]
11,410,7865,[]
11,408,6740,[]
11,429,5888,[]
11,408,1130,[]
11,409,9981,[]
11,411,1521,[]
11,406,8034,[]
11,407,1227,[]
11,428,6617,[]
11,409,4603,[]
11,424,1165,[]
11,408,2563,[]
11,411,8830,[]
11,407,3287,[]
11,435,4193,[]
11,424,9332,[]
11,409,4645,[]
11,408,9035,[]
11,411,2571,[]
11,408,7893,[]
11,430,9754,[]
11,406,8685,[]
11,409,6352,[]
11,409,5692,[]
11,410,1180,[]
11,409,1072,[]
11,429,9026,[]
11,410,9381,[]
11,409,9246,[]
11,410,9653,[]
11,408,2419,[]
11,408,2482,[]
11,428,1721,[]
11,411,8359,[]
11,409,4298,[]
11,409,7401,[]
11,410,3875,[]
11,408,5967,[]
11,428,6459,[]
11,743,9450,[]
11,411,8083,[]
11,411,6907,[]
11,408,2148,[]
11,410,4432,[]
11,408,4907,[]
11,411,8325,[]
11,409,7503,[]
11,408,8501,[]
11,421,7146,[]
11,407,5921,[]
11,408,5316,[]
11,412,8776,[]
11,410,9753,[]
11,410,9486,[]
11,428,9617,[]
11,410,8352,[]
11,410,1154,[]
11,409,4144,[]
11,409,7465,[]
11,408,4060,[]
11,409,1923,[]
11,409,2782,[]
11,409,3168,[]
11,409,2784,[]
11,409,7791,[]
11,409,2529,[]
11,410,2245,[]
11,409,5090,[]
11,409,9441,[]
11,410,6063,[]
11,409,1092,[]
11,408,5482,[]
11,407,9297,[]
11,409,8427,[]
11,408,1188,[]
11,411,8932,[]
11,408,4160,[]
11,409,9805,[]
11,411,2572,[]
11,410,8419,[]
11,408,1404,[]
11,410,4564,[]
11,409,8948,[]
11,410,4356,[]
11,408,5388,[]
11,409,7541,[]
11,408,2854,[]
11,410,8975,[]
11,409,6428,[]
11,420,2027,[]
11,418,2740,[]
11,419,9905,[]
11,418,5191,[]
11,422,9560,[]
11,448,3293,[]
11,427,7978,[]
11,421,1564,[]
11,420,2783,[]
6,14,68,[]
6,11,75,[]
6,10,47,"[5, 14, 3, 25]"
6,10,73,"[22, 16, 24, 11]"
6,11,3,[]
6,10,34,"[5, 11, 8, 1, 9]"
6,11,80,[]
6,11,77,[]
6,11,12,"[6, 6]"
6,12,66,[]
6,12,83,[]
6,11,78,"[4, 25, 14, 14, 21]"
6,5,33,"[18, 15]"
6,11,2,[]
6,8,33,"[9, 24]"
6,11,57,[]
6,12,95,[]
6,12,34,[]
6,10,83,[]
6,8,36,"[3, 10, 12, 11]"
6,6,40,"[7, 18, 15]"
6,12,26,[]
6,10,65,"[18, 15, 20, 12]"
6,10,47,"[9, 6, 8, 3, 21]"
6,11,89,[]
6,11,74,[]
6,11,15,[]
6,8,25,"[24, 1]"
6,11,90,[]
6,10,73,[]
6,12,89,"[22, 22, 19, 16, 3, 7]"
6,12,78,[]
6,12,43,[]
6,11,78,[]
6,11,68,[]
6,12,72,[]
6,12,18,[]
6,11,74,[]
6,8,27,"[3, 24]"
6,11,68,[]
6,11,22,[]
6,11,64,[]
6,8,57,"[13, 17, 3, 24]"
6,12,24,[]
6,7,27,"[1, 22, 4]"
6,10,59,"[5, 1, 20, 16, 17]"
6,12,13,[]
6,10,94,[]
6,10,79,[]
6,10,96,[]
6,12,79,[]
6,11,6,[]
6,11,59,[]
6,12,25,[]
6,6,42,"[17, 25]"
6,5,7,"[3, 4]"
6,10,94,"[21, 23, 20, 6, 24]"
6,12,74,[]
6,12,75,[]
6,5,11,[11]
6,9,21,"[6, 15]"
6,7,22,"[8, 14]"
6,11,74,"[8, 8, 24, 9, 25]"
6,12,43,[]
6,11,64,[]
6,7,44,"[7, 21, 16]"
6,10,25,[]
6,11,28,[]
6,11,25,[]
6,5,37,"[20, 17]"
6,10,53,"[5, 15, 23, 10]"
6,10,65,[]
6,10,35,"[6, 14, 15]"
6,10,70,[]
6,10,92,[]
6,10,44,[]
6,6,15,"[5, 10]"
6,11,18,[]
6,6,5,[5]
6,10,81,[]
6,8,69,"[21, 16, 8, 24]"
6,11,76,[]
6,6,38,"[17, 18, 3]"
6,7,29,"[10, 12, 7]"
6,12,70,[]
6,5,30,"[22, 8]"
6,10,41,[]
6,11,39,[]
6,7,13,[13]
6,7,17,"[8, 9]"
6,10,51,[]
6,5,43,"[6, 23, 14]"
6,10,80,[]
6,4,12,"[5, 7]"
6,12,63,[]
6,12,94,[]
6,10,87,[]
6,10,65,"[5, 8, 13, 8, 6, 25]"
6,12,87,[]
6,12,12,[]
6,11,839,[]
6,11,950,[]
6,12,982,[]
6,12,998,[]
6,10,533,[]
6,10,655,[]
6,11,289,[]
6,10,298,[]
6,10,377,[]
6,10,354,[]
6,12,561,[]
6,11,731,[]
6,11,372,[]
6,12,630,[]
6,12,289,[]
6,11,121,[]
6,12,676,[]
6,12,811,[]
6,11,690,[]
6,11,177,[]
6,11,991,[]
6,12,327,[]
6,10,252,[]
6,11,994,[]
6,11,765,[]
6,10,798,[]
6,10,240,[]
6,10,233,[]
6,11,737,[]
6,10,216,[]
6,10,691,[]
6,12,801,[]
6,12,822,[]
6,11,924,[]
6,11,325,[]
6,12,280,[]
6,12,797,[]
6,10,366,[]
6,11,487,[]
6,11,621,[]
6,12,736,[]
6,11,969,[]
6,10,854,[]
6,11,899,[]
6,11,851,[]
6,11,830,[]
6,12,167,[]
6,12,769,[]
6,11,560,[]
6,12,709,[]
6,12,743,[]
6,10,371,[]
6,10,207,[]
6,10,121,[]
6,10,170,[]
6,11,990,[]
6,12,840,[]
6,12,362,[]
6,11,499,[]
6,11,973,[]
6,11,340,[]
6,10,401,[]
6,10,598,[]
6,10,112,[]
6,12,780,[]
6,11,419,[]
6,11,458,[]
6,12,226,[]
6,10,720,[]
6,10,243,[]
6,10,680,[]
6,11,727,[]
6,10,309,[]
6,11,561,[]
6,12,654,[]
6,11,861,[]
6,11,990,[]
6,11,790,[]
6,10,494,[]
6,10,746,[]
6,10,800,[]
6,12,535,[]
6,11,592,[]
6,11,936,[]
6,12,978,[]
6,12,531,[]
6,11,285,[]
6,10,164,[]
6,10,355,[]
6,12,605,[]
6,12,813,[]
6,11,614,[]
6,11,344,[]
6,12,836,[]
6,12,982,[]
6,11,419,[]
6,11,991,[]
6,11,262,[]
6,10,553,[]
6,10,139,[]
6,10,3581,[]
6,12,7421,[]
6,11,9137,[]
6,11,4545,[]
6,10,4343,[]
6,11,1711,[]
6,10,3956,[]
6,10,1983,[]
6,10,2482,[]
6,11,8738,[]
6,12,8208,[]
6,11,5231,[]
6,11,7373,[]
6,11,8327,[]
6,10,7007,[]
6,10,7507,[]
6,10,7347,[]
6,10,5974,[]
6,11,9680,[]
6,11,6507,[]
6,12,7385,[]
6,11,1197,[]
6,11,8707,[]
6,11,7416,[]
6,12,8951,[]
6,11,2395,[]
6,11,3918,[]
6,12,9498,[]
6,10,7958,[]
6,10,6766,[]
6,12,9798,[]
6,12,7528,[]
6,11,1476,[]
6,11,2262,[]
6,12,4898,[]
6,10,6257,[]
6,10,3357,[]
6,10,1213,[]
6,11,7144,[]
6,11,8623,[]
6,11,1083,[]
6,12,1224,[]
6,12,1003,[]
6,10,3452,[]
6,10,5679,[]
6,10,4608,[]
6,11,9968,[]
6,11,4240,[]
6,12,5457,[]
6,11,2415,[]
6,11,8924,[]
6,12,2809,[]
6,11,6982,[]
6,11,1385,[]
6,10,8927,[]
6,11,2152,[]
6,11,7237,[]
6,11,6336,[]
6,11,4411,[]
6,10,3955,[]
6,11,3469,[]
6,11,7996,[]
6,11,9565,[]
6,11,3756,[]
6,12,9798,[]
6,12,6354,[]
6,11,2905,[]
6,11,7867,[]
6,10,8280,[]
6,12,4668,[]
6,11,3018,[]
6,11,6630,[]
6,12,4116,[]
6,12,8522,[]
6,11,7131,[]
6,11,9621,[]
6,10,8589,[]
6,10,7160,[]
6,10,8322,[]
6,10,7287,[]
6,10,7846,[]
6,10,9809,[]
6,10,1590,[]
6,12,6158,[]
6,11,1462,[]
6,11,7472,[]
6,12,8253,[]
6,12,8442,[]
6,10,7757,[]
6,10,8693,[]
6,11,1671,[]
6,10,9202,[]
6,10,6459,[]
6,10,4752,[]
6,10,7383,[]
6,10,6556,[]
6,11,9060,[]
6,12,1715,[]
6,12,6626,[]
6,11,3163,[]
14,123,77,"[5, 17, 12, 21, 8, 14]"
14,87,62,"[5, 20, 18, 16, 3]"
14,319,10,"[2, 1, 7]"
14,804,16,"[1, 7, 8]"
14,249,96,"[25, 25, 15, 16, 15]"
14,190,26,"[2, 3, 13, 8]"
14,85,52,"[7, 21, 2, 22]"
14,94,79,"[24, 12, 16, 2, 25]"
14,70,58,"[16, 13, 14, 15]"
14,339,79,"[2, 24, 1, 3, 10, 5, 12, 17, 5]"
14,4589,1,[]
14,1945,2,[2]
14,96,49,"[5, 25, 19]"
14,108,18,"[3, 15]"
14,54,39,"[24, 15]"
14,119,95,"[22, 1, 23, 25, 24]"
14,138,71,"[15, 18, 15, 13, 10]"
14,82,51,"[14, 12, 4, 7, 1, 13]"
14,4038,9,[]
14,2048,1,[1]
14,184,39,"[20, 8, 11]"
14,226,40,"[21, 17, 2]"
14,258,56,"[11, 18, 13, 12, 2]"
14,2584,10,"[3, 3, 4]"
14,937,9,"[7, 2]"
14,69,60,"[11, 17, 11, 21]"
14,97,76,"[16, 2, 23, 4, 22, 9]"
14,88,36,"[15, 21]"
14,191,17,"[3, 14]"
14,278,78,"[24, 8, 12, 3, 12, 19]"
14,195,41,"[11, 5, 25]"
14,86,61,"[21, 15, 8, 17]"
14,120,54,"[14, 9, 22, 9]"
14,72,63,"[6, 19, 14, 23, 1]"
14,72,52,"[22, 12, 7, 8, 3]"
14,538,21,"[3, 1, 17]"
14,625,6,"[1, 1, 4]"
14,746,100,"[8, 14, 14, 25, 8, 4, 20, 7]"
14,146,15,"[2, 8, 5]"
14,1125,8,[8]
14,178,45,"[14, 6, 23, 2]"
14,209,73,"[8, 22, 14, 6, 23]"
14,175,22,"[9, 2, 11]"
14,78,79,"[20, 13, 22, 1, 23]"
14,323,22,"[13, 8, 1]"
14,55,54,"[12, 7, 18, 6, 8, 3]"
14,1767,10,"[8, 1, 1]"
14,1550,21,"[2, 17, 1, 1]"
14,4251,8,[]
14,74,54,"[2, 5, 24, 20, 3]"
14,3839,3,[]
14,93,27,"[3, 24]"
14,224,90,"[3, 23, 18, 22, 21, 3]"
14,114,70,"[24, 14, 4, 9, 19]"
14,90,69,"[20, 5, 25, 19]"
14,103,48,"[14, 17, 7, 10]"
14,617,95,"[21, 10, 8, 9, 7, 22, 7, 11]"
14,50,56,"[24, 17, 15]"
14,107,73,"[6, 14, 10, 8, 20, 15]"
14,69,51,"[14, 22, 15]"
14,260,92,"[14, 7, 23, 4, 21, 4, 19]"
14,186,32,"[19, 8, 5]"
14,133,87,"[11, 25, 21, 25, 5]"
14,382,34,"[9, 25]"
14,554,96,"[13, 7, 20, 3, 7, 22, 24]"
14,124,56,"[5, 21, 6, 24]"
14,76,36,"[8, 8, 15, 5]"
14,458,24,"[15, 9]"
14,694,98,"[8, 8, 15, 10, 1, 21, 19, 16]"
14,122,88,"[24, 16, 16, 11, 21]"
14,427,79,"[25, 4, 1, 17, 4, 6, 14, 8]"
14,77,68,"[23, 2, 16, 19, 8]"
14,391,99,"[9, 24, 19, 23, 19, 5]"
14,521,18,"[8, 6, 1, 3]"
14,94,37,"[6, 10, 2, 19]"
14,63,28,"[5, 12, 11]"
14,73,36,"[16, 20]"
14,78,77,"[15, 24, 23, 2, 13]"
14,1644,95,"[7, 22, 4, 11, 14, 4, 4, 8, 5, 3, 13]"
14,427,21,"[9, 5, 5, 2]"
14,107,49,"[17, 9, 9, 1, 10, 3]"
14,215,70,"[4, 18, 6, 1, 13, 15, 13]"
14,864,12,[12]
14,98,67,"[24, 17, 18, 8]"
14,101,85,"[20, 25, 15, 20, 5]"
14,273,89,"[13, 7, 17, 14, 24, 14]"
14,201,72,"[6, 21, 25, 4, 8, 8]"
14,51,63,"[19, 11, 24, 9]"
14,169,21,[21]
14,510,11,"[10, 1]"
14,101,40,"[16, 24]"
14,190,82,"[3, 23, 8, 12, 11, 25]"
14,68,22,"[16, 5, 1]"
14,83,43,"[3, 3, 16, 12, 7, 2]"
14,357,88,"[12, 17, 2, 12, 12, 8, 17, 8]"
14,43,42,"[17, 1, 24]"
14,131,29,"[14, 15]"
14,30,32,"[7, 14, 8, 3]"
14,92,78,"[13, 17, 24, 24]"
14,167,89,"[25, 18, 25, 21]"
14,4046,757,[]
14,4379,784,[]
14,3746,266,[]
14,3695,299,[]
14,3732,714,[]
14,3783,758,[]
14,3793,269,[]
14,4327,792,[]
14,3840,682,[]
14,3926,799,[]
14,3883,496,[]
14,3808,706,[]
14,3661,675,[]
14,4080,837,[]
14,3787,507,[]
14,3779,507,[]
14,3759,829,[]
14,3823,274,[]
14,2248,192,"[22, 6, 14, 24, 23, 24, 21, 10, 19, 10, 19]"
14,4215,415,[]
14,2798,188,"[2, 21, 11, 18, 23, 16, 9, 18, 22, 15, 13, 20]"
14,3756,765,[]
14,3725,264,[]
14,3834,352,[]
14,3705,205,[]
14,4310,903,[]
14,3829,817,[]
14,3857,866,[]
14,3928,330,[]
14,1388,150,"[24, 8, 24, 1, 23, 9, 3, 24, 11, 15, 6, 2]"
14,3718,226,[]
14,4368,711,[]
14,3790,242,[]
14,3785,230,[]
14,3836,959,[]
14,3843,878,[]
14,3898,342,[]
14,4208,320,[]
14,3674,882,[]
14,3682,593,[]
14,3722,719,[]
14,3753,272,[]
14,3830,902,[]
14,4204,333,[]
14,3835,793,[]
14,3844,960,[]
14,1766,156,"[19, 21, 22, 11, 25, 17, 17, 24]"
14,3770,749,[]
14,3659,512,[]
14,1457,146,"[14, 25, 18, 10, 9, 8, 15, 9, 18, 12, 8]"
14,4158,340,[]
14,3803,332,[]
14,3890,423,[]
14,3829,565,[]
14,3899,500,[]
14,739,153,"[24, 24, 21, 9, 24, 22, 20, 9]"
14,4451,417,[]
14,3891,457,[]
14,3878,438,[]
14,3764,754,[]
14,3798,509,[]
14,3717,992,[]
14,4271,958,[]
14,3703,466,[]
14,3726,982,[]
14,3746,825,[]
14,3799,456,[]
14,3798,764,[]
14,4289,687,[]
14,3864,909,[]
14,3943,428,[]
14,3675,475,[]
14,3647,843,[]
14,3679,548,[]
14,265,104,"[20, 18, 12, 16, 17, 21]"
14,4055,973,[]
14,3731,617,[]
14,3748,702,[]
14,3771,388,[]
14,3817,599,[]
14,4519,691,[]
14,3881,191,[]
14,3892,841,[]
14,3679,443,[]
14,3689,427,[]
14,3670,725,[]
14,4292,983,[]
14,3755,769,[]
14,3775,986,[]
14,3793,765,[]
14,3829,794,[]
14,4098,132,[]
14,5197,753,[]
14,3791,259,[]
14,3688,723,[]
14,859,125,"[13, 24, 22, 24, 19, 23]"
14,1230,143,"[8, 16, 11, 15, 23, 11, 12, 14, 3, 24, 6]"
14,3765,596,[]
14,3750,709,[]
14,4926,698,[]
14,3819,1065,[]
14,3671,9253,[]
14,3941,4168,[]
14,3884,2449,[]
14,3893,6420,[]
14,4439,8720,[]
14,3798,2095,[]
14,3628,5276,[]
14,3588,7387,[]
14,3783,7621,[]
14,3741,4858,[]
14,4259,1890,[]
14,3793,5438,[]
14,3822,7829,[]
14,3999,9163,[]
14,3937,3782,[]
14,3882,7601,[]
14,3988,7266,[]
14,3779,8089,[]
14,3748,1224,[]
14,3767,4462,[]
14,3758,8829,[]
14,4532,5922,[]
14,3818,9392,[]
14,3928,8539,[]
14,3767,8762,[]
14,3794,4731,[]
14,3691,1610,[]
14,4470,6488,[]
14,3618,3571,[]
14,3751,9583,[]
14,3816,2345,[]
14,3823,8326,[]
14,3811,7325,[]
14,4329,2864,[]
14,3880,5391,[]
14,3987,5991,[]
14,3739,8209,[]
14,3689,2840,[]
14,3741,8613,[]
14,4084,8625,[]
14,3815,4955,[]
14,3783,4271,[]
14,3793,7249,[]
14,3831,3468,[]
14,4616,2089,[]
14,3793,8621,[]
14,3682,5182,[]
14,3606,3055,[]
14,3713,7247,[]
14,3710,9367,[]
14,4421,1687,[]
14,3776,2637,[]
14,3808,6630,[]
14,3835,7812,[]
14,3772,4191,[]
14,3833,2507,[]
14,4224,4733,[]
14,3686,7397,[]
14,3703,7767,[]
14,3706,1571,[]
14,3741,3981,[]
14,3783,3728,[]
14,4242,7858,[]
14,3850,1483,[]
14,3857,3490,[]
14,3855,2712,[]
14,3900,5649,[]
14,3690,8089,[]
14,3977,7702,[]
14,3721,4158,[]
14,3803,2930,[]
14,3763,5638,[]
14,3771,6092,[]
14,4505,4167,[]
14,3896,6245,[]
14,3870,7809,[]
14,3924,6457,[]
14,3732,6617,[]
14,3655,9670,[]
14,4296,4421,[]
14,3780,2019,[]
14,3755,5527,[]
14,3767,8520,[]
14,3823,1487,[]
14,3830,4207,[]
14,4317,8705,[]
14,3903,7207,[]
14,3856,1901,[]
14,3968,3344,[]
14,3818,7677,[]
14,3813,4712,[]
14,4297,9709,[]
14,3894,1505,[]
14,4033,3704,[]
14,4158,4198,[]
14,3877,2221,[]
14,4725,7189,[]
14,3691,8836,[]
14,3673,9111,[]
12,73,46,"[25, 4, 13, 4]"
12,134,87,"[25, 18, 12, 3, 13, 16]"
12,74,68,"[25, 1, 21, 21]"
12,28,49,"[22, 7, 16, 4]"
12,41,50,"[9, 7, 11, 23]"
12,84,61,"[15, 22, 2, 1, 21]"
12,69,52,"[4, 19, 16, 13]"
12,87,73,"[15, 14, 23, 21]"
12,70,14,"[13, 1]"
12,864,8,[]
12,87,76,"[21, 12, 15, 11, 12, 5]"
12,51,38,"[15, 12, 11]"
12,97,71,"[25, 5, 25, 16]"
12,411,14,"[10, 4]"
12,449,25,"[4, 21]"
12,915,0,[]
12,88,60,"[17, 20, 23]"
12,63,61,"[7, 21, 7, 5, 21]"
12,55,36,"[19, 17]"
12,206,12,"[2, 2, 7, 1]"
12,116,100,"[24, 20, 4, 20, 16, 16]"
12,238,90,"[4, 19, 1, 18, 12, 16, 7, 13]"
12,84,49,"[18, 10, 2, 19]"
12,68,78,"[24, 25, 5, 22, 2]"
12,188,65,"[9, 25, 16, 15]"
12,112,19,"[7, 12]"
12,58,60,"[22, 8, 7, 23]"
12,105,16,"[5, 9, 2]"
12,226,9,"[3, 6]"
12,331,24,"[9, 4, 11]"
12,165,93,"[25, 5, 12, 4, 17, 24, 6]"
12,136,30,"[15, 2, 13]"
12,41,52,"[16, 13, 23]"
12,39,63,"[25, 21, 3, 14]"
12,106,63,"[3, 14, 1, 8, 11, 22, 4]"
12,412,18,[18]
12,82,37,"[23, 14]"
12,104,82,"[13, 16, 7, 22, 24]"
12,76,83,"[17, 25, 25, 16]"
12,49,37,"[24, 8, 2, 3]"
12,73,64,"[20, 15, 8, 5, 16]"
12,71,55,"[11, 2, 5, 12, 25]"
12,62,41,"[6, 2, 2, 10, 21]"
12,46,53,"[6, 21, 22, 4]"
12,77,34,"[2, 8, 3, 21]"
12,39,60,"[14, 1, 20, 19, 6]"
12,266,15,"[12, 3]"
12,164,38,"[13, 7, 13, 5]"
12,35,61,"[21, 23, 4, 13]"
12,115,94,"[22, 20, 24, 1, 18, 9]"
12,255,83,"[4, 1, 13, 18, 17, 15, 7, 1, 7]"
12,185,11,"[4, 2, 5]"
12,842,6,[]
12,200,97,"[9, 24, 14, 9, 23, 18]"
12,327,99,"[18, 15, 10, 5, 6, 9, 17, 19]"
12,860,1,[]
12,839,20,[]
12,307,99,"[13, 13, 22, 13, 7, 16, 15]"
12,46,56,"[22, 4, 15, 15]"
12,50,36,"[23, 6, 7]"
12,74,38,"[1, 7, 21, 9]"
12,112,64,"[1, 4, 18, 7, 22, 12]"
12,34,25,"[12, 13]"
12,166,93,"[13, 25, 6, 13, 17, 19]"
12,156,49,"[6, 18, 8, 17]"
12,46,34,"[9, 21, 4]"
12,839,8,[]
12,68,48,"[11, 2, 17, 18]"
12,120,82,"[18, 20, 11, 11, 22]"
12,834,5,[]
12,859,21,[]
12,44,34,"[5, 14, 2, 13]"
12,131,11,"[4, 6, 1]"
12,234,75,"[25, 3, 11, 2, 3, 4, 10, 8, 9]"
12,58,55,"[15, 15, 4, 21]"
12,62,62,"[22, 12, 18, 10]"
12,118,70,"[9, 16, 4, 19, 5, 17]"
12,210,16,"[4, 2, 10]"
12,229,29,"[19, 6, 2, 2]"
12,64,84,"[18, 24, 25, 1, 16]"
12,46,32,"[3, 10, 4, 15]"
12,315,10,[10]
12,233,6,"[1, 5]"
12,93,53,"[22, 16, 15]"
12,97,7,"[4, 3]"
12,884,5,[]
12,78,62,"[16, 12, 1, 21, 9, 3]"
12,233,27,"[10, 4, 13]"
12,188,77,"[6, 9, 1, 20, 1, 21, 6, 13]"
12,410,3,[3]
12,843,5,[]
12,59,30,"[5, 5, 7, 13]"
12,251,13,"[1, 12]"
12,802,13,"[1, 5, 7]"
12,102,72,"[16, 19, 10, 9, 18]"
12,108,69,"[2, 19, 4, 3, 23, 18]"
12,103,75,"[11, 21, 20, 1, 22]"
12,56,70,"[19, 10, 17, 24]"
12,118,73,"[9, 3, 1, 17, 23, 20]"
12,61,54,"[15, 1, 3, 15, 20]"
12,839,149,"[13, 16, 3, 21, 2, 11, 24, 24, 11, 24]"
12,921,624,[]
12,856,471,[]
12,838,971,[]
12,859,203,"[1, 25, 23, 22, 21, 4, 22, 17, 18, 20, 19, 11]"
12,838,495,[]
12,102,104,"[19, 16, 23, 21, 7, 18]"
12,898,592,[]
12,837,961,[]
12,869,299,[]
12,844,870,[]
12,840,220,[]
12,882,401,[]
12,836,708,[]
12,934,618,[]
12,844,565,[]
12,835,642,[]
12,857,615,[]
12,839,789,[]
12,917,394,[]
12,859,213,[]
12,241,117,"[15, 23, 17, 12, 25, 25]"
12,921,875,[]
12,837,207,[]
12,838,707,[]
12,856,971,[]
12,835,731,[]
12,1283,786,[]
12,838,990,[]
12,837,848,[]
12,856,898,[]
12,836,755,[]
12,913,925,[]
12,838,910,[]
12,837,561,[]
12,840,280,[]
12,837,804,[]
12,879,966,[]
12,840,372,[]
12,943,426,[]
12,835,317,[]
12,857,773,[]
12,869,176,[]
12,838,135,[]
12,909,298,[]
12,190,106,"[19, 24, 8, 19, 22, 14]"
12,840,679,[]
12,916,492,[]
12,849,983,[]
12,488,133,"[22, 10, 13, 25, 14, 14, 9, 20, 6]"
12,903,670,[]
12,838,329,[]
12,840,461,[]
12,846,724,[]
12,834,291,[]
12,1281,548,[]
12,837,152,[]
12,844,633,[]
12,838,298,[]
12,854,459,[]
12,877,865,[]
12,586,111,"[5, 10, 24, 20, 19, 2, 1, 23, 5, 2]"
12,857,280,[]
12,871,821,[]
12,838,784,[]
12,899,543,[]
12,835,853,[]
12,836,813,[]
12,192,103,"[2, 25, 12, 21, 5, 16, 22]"
12,835,400,[]
12,858,175,[]
12,880,976,[]
12,837,757,[]
12,898,956,[]
12,838,733,[]
12,835,839,[]
12,838,161,[]
12,837,825,[]
12,880,407,[]
12,859,875,[]
12,917,242,[]
12,837,843,[]
12,848,259,[]
12,1195,792,[]
12,837,178,[]
12,916,374,[]
12,838,388,[]
12,835,330,[]
12,883,349,[]
12,843,253,[]
12,913,457,[]
12,859,686,[]
12,839,161,[]
12,841,400,[]
12,837,950,[]
12,897,368,[]
12,838,548,[]
12,915,393,[]
12,852,139,"[5, 25, 15, 6, 18, 11, 9, 23, 7, 19, 1]"
12,834,480,[]
12,857,7202,[]
12,835,4868,[]
12,900,6307,[]
12,910,1829,[]
12,865,3400,[]
12,1011,4177,[]
12,843,7226,[]
12,912,4425,[]
12,835,3653,[]
12,958,5635,[]
12,1196,8916,[]
12,830,8858,[]
12,880,4453,[]
12,833,9517,[]
12,921,5863,[]
12,837,6043,[]
12,844,6536,[]
12,954,7181,[]
12,859,1118,[]
12,895,6107,[]
12,831,2368,[]
12,837,6941,[]
12,833,4060,[]
12,837,3721,[]
12,878,7888,[]
12,851,8747,[]
12,947,9217,[]
12,865,8585,[]
12,851,2304,[]
12,857,3928,[]
12,837,2955,[]
12,956,9546,[]
12,866,2435,[]
12,877,2224,[]
12,850,8861,[]
12,836,7243,[]
12,1353,6065,[]
12,840,6478,[]
12,818,2010,[]
12,814,2298,[]
12,809,7511,[]
12,851,8109,[]
12,812,1295,[]
12,913,6421,[]
12,827,4950,[]
12,811,9530,[]
12,832,7817,[]
12,862,3862,[]
12,927,1545,[]
12,813,1271,[]
12,830,7868,[]
12,852,7019,[]
12,835,7647,[]
12,883,8011,[]
12,836,8189,[]
12,1021,2850,[]
12,835,6677,[]
12,839,2439,[]
12,854,9205,[]
12,839,6522,[]
12,895,7218,[]
12,836,4173,[]
12,834,9307,[]
12,1188,2240,[]
12,836,1385,[]
12,947,2470,[]
12,860,5502,[]
12,849,9776,[]
12,835,4030,[]
12,854,9324,[]
12,880,3576,[]
12,838,6459,[]
12,922,6467,[]
12,834,5304,[]
12,898,9470,[]
12,857,7203,[]
12,875,2708,[]
12,899,8249,[]
12,835,7943,[]
12,836,1932,[]
12,835,4250,[]
12,836,8122,[]
12,899,4611,[]
12,838,9253,[]
12,924,4407,[]
12,867,6271,[]
12,850,2256,[]
12,858,5306,[]
12,848,2718,[]
12,1285,7058,[]
12,833,5163,[]
12,838,6407,[]
12,861,8631,[]
12,914,2690,[]
12,892,5857,[]
12,815,3545,[]
12,814,2292,[]
12,821,5040,[]
12,815,7221,[]
12,860,2582,[]
7,25,71,"[17, 22, 15, 17]"
7,21,6,[]
7,21,61,[]
7,21,4,[]
7,15,17,"[10, 2, 5]"
7,12,80,"[20, 25, 18, 17]"
7,13,65,"[24, 25, 14, 2]"
7,13,29,"[13, 16]"
7,13,64,"[6, 24, 18, 16]"
7,21,34,[]
7,21,59,[]
7,13,73,"[25, 25, 23]"
7,10,37,"[23, 14]"
7,17,45,"[20, 7, 18]"
7,21,69,[]
7,10,33,"[20, 11, 2]"
7,16,63,"[23, 17, 7, 16]"
7,19,68,"[15, 23, 6, 13, 11]"
7,12,55,"[18, 13, 24]"
7,21,65,[]
7,15,88,"[8, 3, 23, 24, 19, 11]"
7,22,39,[]
